a menudo|often
el fideo|noodle
el follaje|foliage
el frasco|jar
el fresno|ash
el gabán|overcoat
el galgo|greyhound
el garabato|scribble
el garfio|hook
el gentío|crowd
el girasol|sunflower
el globo|balloon
el gorrión|sparrow
el grado|degree
el granero|barn
el grosor|thickness
el guijarro|pebble
el guiño|wink
el hacha|ax
el hada madrina|fairy godmother
el haya|beech
el hechicero|sorcerer
el heno|hay
el hielo|ice
el higo|fig
el himno|anthem
el hipo|hiccups
el hombre lobo|werewolf
el homenaje|homage
el hormigueo|tingling
el hoyuelo|dimple
el huerto|orchard
el huevo revuelto|scrambled egg
el humor|mood
el héroe|hero
el idioma|language
el imán|magnet
el inframundo|underworld
el invernadero|greenhouse
el invierno|winter
el jengibre|ginger
el jonrón|home run
el ladrón|thief
el lavaplatos|dishwasher
el leñador|woodcutter
el lienzo|canvas
el lince|lynx
el lirio|iris
el lobo|wolf
el loro|parrot
el lunar|mole
el luto|mourning
el maleficio|curse
el malvavisco|marshmallow
el mandado|errand
el mapache|raccoon
el maquillaje|makeup
el marinero|sailor
el marisco|seafood
el matorral|thicket
el mazapán|marzipan
el mechón|lock
el medioambiente|environment
el mediodía|noon
el mejillón|mussel
el menosprecio|contempt
el mercado|market
el meñique|little finger
el mirador|viewpoint
el mochilero|backpacker
el montículo|hillock
el muelle|pier
el murciélago|bat
el musgo|moss
el muérdago|mistletoe
el nido|nest
el noticiero|news
el nubarrón|storm cloud
el ocio|leisure
el olmo|elm tree
el olor|smell
el ombligo|belly button
el ornitorrinco|platypus
el oro|gold
el oso de peluche|teddy bear
el oso polar|polar bear
el otoño|fall
el panadero|baker
el panal|honeycomb
el pantano|swamp
el papeleo|paperwork
el pariente|relative
el pasatiempo|hobby
el patinaje|skating
el patinaje artístico|figure skating
el patrocinador|sponsor
el patín|skate
el pavo|turkey
el pavor|dread
el pañal|diaper
el pedernal|flint
el percance|mishap
el petardo|firecracker
el peñasco|crag
el picaflor|hummingbird
el ping=C3=BCino|penguin
el poderío|power
el pollito|chick
el ponche|punch
el postre|dessert
el prado|meadow
el pronóstico|forecast
el protector solar|sunscreen
el puercoespín|porcupine
el pulpo|octopus
el puñado|handful
el pétalo|petal
el quiosco|kiosk
el racimo|bunch
el ramo|bouquet
el rastrillo|rake
el ratito|little while
el rebaño|flock
el recordatorio|reminder
el refrigerio|snack
el regalo|present
el relleno|stuffing
el reloj|clock
el relámpago|bolt of lightning
el renacuajo|tadpole
el reno|reindeer
el repollo|cabbage
el resplandor|brightness
el reto|challenge
el retrato|portrait
el riachuelo|brook
el ritmo|rhythm
el roble|oak
el rocío|dew
el rodaje|shooting
el rodillo|rolling pin
el roedor|rodent
el romero|rosemary
el rompecabezas|jigsaw puzzle
el rugido|roar
el ruiseñor|nightingale
el rumbo|course
el rímel|mascara
el sabor|flavor
el sacacorchos|corkscrew
el saltamontes|grasshopper
el sancocho|stew
el sauce|willow
el sendero|path
el silbato|whistle
el sillón|armchair
el sonámbulo|sleepwalker
el sorbo|sip
el sosiego|calm
el soñador|dreamer
el séquito|entourage
el súbdito|subject
el taburete|stool
el tejón|badger
el tendedero|drying rack
el terciopelo|velvet
el ternero|calf
el terrícola|earthling
el tiburón|shark
el tlacuache|opossum
el tomillo|thyme
el topo|mole
el torbellino|whirlwind
el trabalenguas|tongue twister
el tramposo|cheater
el trapeador|mop
el trigo|wheat
el trineo|sled
el trébol|clover
el tímpano|eardrum
el títere|puppet
el vals|waltz
el velero|sailboat
el venado|deer
el vendaval|gale
el ventanal|large window
el ventilador|fan
el verano|summer
el viento|wind
el villancico|Christmas carol
el vivero|nursery
el viñedo|vineyard
el vocablo|word
el vocero|spokesperson
el yerno|son-in-law
el zarpazo|swipe
el zorro|fox
el zumbido|buzz
el/la aguafiestas|party pooper
el/la alienígena|alien
el/la bromista|jokester
el/la cavernícola|caveman
el/la cineasta|filmmaker
el/la corresponsal|correspondent
el/la delfín|dolphin
el/la maleante|criminal
el/la mar|sea
el/la maracuyá|passion fruit
el/la mecenas|patron
el/la personaje|character
el/la polizón|stowaway
el/la sabelotodo|know-it-all
el/la salvavidas|lifeguard
el/la teniente|lieutenant
el/la terrateniente|landowner
el/la tiquismiquis|fussbudget
el/la transeúnte|passerby
elogiar|to praise
embarazada|pregnant
embarcar|to board
embarrado|muddy
embrujado|haunted
embrujar|to bewitch
emocionado|excited
empalagoso|sickly sweet
empapado|soaked
empañarse|to steam up
empujar|to push
enamorarse|to fall in love
encallar|to run aground
encantador|charming
encaramarse|to climb up onto
encariñarse|to grow fond of
encebollado|cooked with onions
encinta|pregnant
endulzar|to sweeten
enfermo|sick
enfriar|to cool
enhorabuena|congratulations
enjuagar|to rinse
enlatado|canned
enmarañado|tangled
ensayar|to rehearse
ensimismado|absorbed
ensordecedor|deafening
enterrar|to bury
entumecerse|to go numb
entusiasmado|excited
envolver|to wrap
escabullirse|to escape
escalofriante|chilling
escampar|to clear up
escaso|scarce
esculpir|to sculpt
espantar|to frighten
esparcir|to scatter
espeluznante|terrifying
esperanzado|hopeful
espolvorear|to sprinkle
esquiar|to ski
esquilar|to shear
esquivo|evasive
estar de luto|to be in mourning
estremecedor|terrifying
exprimir|to squeeze
extranjero|foreign
extraño|strange
feroz|fierce
florecer|to bloom
floreciente|blooming
florido|full of flowers
flotante|floating
fluir|to flow
forestal|forest
foráneo|foreign
fresco|fresh
freír|to fry
friolento|sensitive to the cold
frío|cold
fuchi|yuck
fuera|outside
funesto|ill-fated
furibundo|furious
gatear|to crawl
gozar|to enjoy oneself
grato|pleasant
grisáceo|grayish
gritar|to scream
guapo|handsome
gélido|icy
halagador|flattering
hambriento|hungry
hechizar|to cast a spell on
hervido|boiled
hervir|to boil
hogareño|home-loving
holgado|loose-fitting
holgazanear|to laze around
hornear|to bake
hostigar|to pester
humeante|smoking
idóneo|ideal
incrustar|to set
inculcar|to instill
inmobiliario|real estate
intercambiar|to exchange
inusitado|unusual
invernal|wintry
invernar|to winter
inverosímil|implausible
irlandés|Irish
jubilado|retired
jugar|to play
jugoso|juicy
juguetón|playful
la Janucá|Hanukkah
la Tierra|Earth
la aceituna|olive
la acidez|heartburn
la acuarela|watercolor
la adivinanza|riddle
la agalla|gill
la alameda|tree-lined avenue
la albahaca|basil
la alcachofa|artichoke
la alcancía|piggy bank
la alegría|joy
la alergia|allergy
la alfombra|carpet
la algarabía|racket
la almeja|clam
la almendra|almond
la almohada|pillow
la altanería|haughtiness
la ampolla|blister
la anguila|eel
la ansiedad|anxiety
la arboleda|grove
la ardilla|squirrel
la arena|sand
la artimaña|trick
la arveja|pea
la aspiradora|vacuum
la avena|oatmeal
la avidez|eagerness
la añoranza|nostalgia
la bahía|bay
la ballena|whale
la balsa|raft
la bandera|flag
la batuta|baton
la baya|berry
la bellota|acorn
la bisagra|hinge
la bisutería|imitation jewelry
la bobada|nonsense
la brisa|breeze
la broma|joke
la bruja|witch
la brújula|compass
la bufanda|scarf
la burbuja|bubble
la cabaña|cabin
la cabellera|head of hair
la cabra|goat
la cafetera|coffee maker
la caja fuerte|safe
la calabaza|pumpkin
la calidez|warmth
la camilla|stretcher
la campana|bell
la campanada|chime
la canasta|basket
la canela|cinnamon
la canica|marble
la carcajada|loud laugh
la castaña|chestnut
la cazuela|casserole dish
la cera|wax
la cereza|cherry
la certidumbre|certainty
la chancleta|flip-flop
la chaqueta|jacket
la chimenea|chimney
la chispa|spark
la cig=C3=BCeña|stork
la cigüeña|stork
la cima|summit
la ciruela|plum
la ciénaga|swamp
la clara|egg white
la cobija|blanket
la codorniz|quail
la coima|bribe
la cola|tail
la colmena|beehive
la comezón|itch
la comilona|feast
la comparsa|group
la corazonada|hunch
la cordillera|mountain range
la corteza|bark
la cosecha|harvest
la cúspide|summit
la ducha|shower
la emboscada|ambush
la entrevista|interview
la epopeya|epic
la escalinata|staircase
la escarcha|frost
la escultura|sculpture
la esfinge|sphinx
la espada|sword
la espina|thorn
la espuma|foam
la estación|season
la estrella fugaz|shooting star
la fachada|facade
la farola|streetlight
la flecha|arrow
la flor|flower
la frambuesa|raspberry
la frazada|blanket
la fresa|strawberry
la fuente|fountain
la gabardina|trench coat
la gaita|bagpipes
la galleta|cookie
la gaviota|seagull
la golondrina|swallow
la golosina|candy
la gotera|leak
la guacamaya|macaw
la guarida|lair
la guirnalda|garland
la hamaca|hammock
la hambruna|famine
la hebilla|buckle
la heladería|ice cream parlor
la herradura|horseshoe
la hielera|cooler
la higuera|fig tree
la hoja|leaf
la hojalata|tin
la hora|hour
la huella|footprint
la igualdad|equality
la jalea|jelly
la jaqueca|migraine
la jardinería|gardening
la jirafa|giraffe
la jornada laboral|workday
la jubilación|retirement
la lana|wool
la lechuza|barn owl
la lengua|tongue
la lenteja|lentil
la lentejuela|sequin
la leña|firewood
la libertad|freedom
la licuadora|blender
la liebre|hare
la lila|lilac
la limonada|lemonade
la linterna|flashlight
la litera|bunk
la llave|key
la llegada|arrival
la luciérnaga|firefly
la luna llena|full moon
la lupa|magnifying glass
la lápida|tombstone
la maceta|flowerpot
la maleta|suitcase
la manada|herd
la manga|sleeve
la manguera|hose
la manteca|lard
la marea|tide
la margarita|daisy
la mazmorra|dungeon
la maña|skill
la mecedora|rocking chair
la medianoche|midnight
la mercancía|merchandise
la mezquita|mosque
la miel|honey
la mochila|backpack
la montaña rusa|roller coaster
la moraleja|moral
la morsa|walrus
la mueca|face
la multitud|crowd
la nevada|snowfall
la nieta|granddaughter
la nuez moscada|nutmeg
la nutria|otter
la ojera|bag under one's eyes
la ola|wave
la orilla|shore
la orquídea|orchid
la palmera|palm tree
la pandereta|tambourine
la pantorrilla|calf
la pantufla|slipper
la papa|potato
la papa frita|french fry
la papilla|baby food
la pareja|couple
la parrillada|barbecue
la pasa|raisin
la peca|freckle
la peluca|wig
la persiana|blind
la pesadilla|nightmare
la pesquisa|inquiry
la pestaña|eyelash
la piscina|swimming pool
la pizca|pinch
la piña|pineapple
la planta baja|first floor
la pluma|feather
la potestad|authority
la primavera|spring
la procedencia|origin
la profundidad|depth
la propina|tip
la pulgada|inch
la quijada|jaw
la rabieta|tantrum
la ramita|twig
la raíz|root
la remolacha|beet
la rendija|crack
la rodaja|slice
la rosca de Reyes|Three Kings bread
la rosquilla|doughnut
la ráfaga|gust
la sabiduría|wisdom
la sandía|watermelon
la sarta|string
la savia|sap
la secadora|dryer
la seda|silk
la semilla|seed
la sentada|sit-in
la servilleta|napkin
la sien|temple
la sierra|mountain range
la sirena|mermaid
la sombrilla|parasol
la sortija|ring
la subasta|auction
la sudadera|sweatshirt
la suerte|luck
la telaraña|spiderweb
la telenovela|soap opera
la temporada|season
la ternura|tenderness
la tetera|teapot
la tienda de campaña|tent
la tinaja|large earthenware jar
la tinta|ink
la tiza|chalk
la toalla|towel
la toronja|grapefruit
la trucha|trout
la tumbona|deckchair
la tórtola|turtledove
la urbe|large city
la uva|grape
la valentía|bravery
la varita|wand
la vela|candle
la velada|evening
la ventisca|blizzard
la verdura|vegetable
la vista|view
la víspera|eve
la yema|yolk
la zanahoria|carrot
la zarig=C3=BCeya|opossum
la zarigüeya|opossum
la zarzamora|blackberry
ladrar|to bark
las bellas artes|fine arts
las damas|checkers
las fiestas|holidays
las rebajas|sales
las sobras|leftovers
las tinieblas|dark
leal|loyal
lejos|far away
lesionarse|to injure oneself
ligeramente|slightly
limítrofe|bordering
llover|to rain
lloviznar|to drizzle
lluvioso|rainy
lodoso|muddy
los ahorros|savings
los alrededores|outskirts
los añicos|pieces
los fuegos artificiales|fireworks
los palillos|chopsticks
lujoso|luxurious
machacar|to crush
madrugador|early riser
madrugar|to get up early
maduro|ripe
magro|lean
malvado|evil
maravilloso|wonderful
marchitar|to wither
marchito|withered
masticar|to chew
matutino|morning
maullar|to meow
media naranja|soulmate
mejorar|to improve
minúsculo|tiny
miope|nearsighted
moler|to grind
mortecino|faint
mudarse|to move
mugir|to moo
mundial|world
mítico|mythical
nadar|to swim
natal|native
navegar|to sail
navideño|Christmas
nevado|snowy
nevar|to snow
nublado|cloudy
nunca|never
oculto|hidden
ojear|to have a look at
olfatear|to sniff
ondulado|wavy
ordenado|tidy
orgulloso|proud
oriundo|native
osado|daring
oscuro|dark
otoñal|fall
ovni|UFO
oxidado|rusty
pacífico|peaceful
palear|to shovel
parlotear|to chatter
parpadear|to blink
pastar|to graze
patinar|to skate
pedalear|to pedal
pedregoso|rocky
peligroso|dangerous
pelirrojo|red-haired
pellizcar|to pinch
perdonar|to forgive
perezoso|lazy
pernoctar|to stay overnight
pescar|to fish
pesquero|fishing
piar|to cheep
picante|spicy
picar|to sting
picotear|to peck
pintoresco|picturesque
pisotear|to stomp on
placentero|pleasant
plantar|to plant
plateado|silver
playero|beach
plegable|folding
poblar|to populate
podar|to prune
polvoriento|dusty
por favor|please
postergar|to postpone
proponerse|to set out to
puesto|place postion stall
quisquilloso|fussy
rallar|to grate
rastrillar|to rake
rayado|striped
realmente|actually
realzar|to highlight
recetar|to prescribe
recién|just
recordar|to remember
recorrer|to travel around
refrescante|refreshing
refrescarse|to cool down
refunfuñar|to grumble
regalar|to give
regar|to water
regatear|to haggle
regocijar|to fill with joy
regocijarse|to rejoice
relajante|relaxing
remar|to row
remolcar|to tow
renacer|to be reborn
renombrado|renowned
rentable|profitable
repentino|sudden
reposar|to rest
resbaladizo|slippery
resbalarse|to slip
resquebrajar|to crack
retraído|withdrawn
revolotear|to flutter
risueño|smiling
rizado|curly
rociar|to spray
rocoso|rocky
rojizo|reddish
roncar|to snore
ronco|hoarse
ronronear|to purr
rugir|to roar
rumbear|to party
rápidamente|quickly
sabanero|from the savannah
saborear|to savor
sabroso|tasty
salpicar|to splash
salteado|sautéed
saludable|healthy
salvaje|wild
sazonar|to season
sediento|thirsty
sembrar|to plant
silbar|to whistle
silvestre|wild
socorrer|to help
soleado|sunny
somnoliento|drowsy
sonrojarse|to blush
sudar|to sweat
suficiente|enough
susurrar|to whisper
tararear|to hum
temible|fearsome
templado|mild
temprano|early
tibio|lukewarm
toparse|to run into
torcido|twisted
tormentoso|stormy
torpe|clumsy
trabajador|hardworking
tranquilamente|peacefully
trasnochar|to stay up late
trasnocharse|to stay up late
trotar|to jog
tupido|thick
tutear|to address as tu
vacío|empty
vasco|Basque
venenoso|poisonous
veranear|to spend the summer
verter|to pour
verídico|true
viajar|to travel
viviente|living
volar|to fly
voltear|to turn over
zambullirse|to dive
zarandear|to shake
zarpar|to set sail
